variable,databaseStart,variableStart,typeStart,typeEnd,recStart,recEnd,catStartLabel,catLabel,catLabelLong,Notes
FC3,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_3,cat,cat,else,copy,NA,NA,NA,NA
FC4,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_4,cat,cat,else,copy,NA,NA,NA,NA
FC5,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_5,cat,cat,else,copy,NA,NA,NA,NA
FC6,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_6,cat,cat,else,copy,NA,NA,NA,NA
FC7,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_7,cat,cat,else,copy,NA,NA,NA,NA
FC8,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_8,cat,cat,else,copy,NA,NA,NA,NA
FC9,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_9,cat,cat,else,copy,NA,NA,NA,NA
FC10,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_10,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT1,NACRS,NACRS::MAIN_INT_ATTR_STATUS,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT2,NACRS,NACRS::OTHER_INT_ATTR_STATUS_1,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT3,NACRS,NACRS::OTHER_INT_ATTR_STATUS_2,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT4,NACRS,NACRS::OTHER_INT_ATTR_STATUS_3,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT5,NACRS,NACRS::OTHER_INT_ATTR_STATUS_4,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT6,NACRS,NACRS::OTHER_INT_ATTR_STATUS_5,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT7,NACRS,NACRS::OTHER_INT_ATTR_STATUS_6,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT8,NACRS,NACRS::OTHER_INT_ATTR_STATUS_7,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT9,NACRS,NACRS::OTHER_INT_ATTR_STATUS_8,cat,cat,else,copy,NA,NA,NA,NA
INATSTAT10,NACRS,NACRS::OTHER_INT_ATTR_STATUS_9,cat,cat,else,copy,NA,NA,NA,NA
INCODE1,NACRS,NACRS::MAIN_INT,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=NACRS&MemName=&Variable=INCODE1
INCODE2,NACRS,NACRS::OTHER_INT_1,cat,cat,else,copy,NA,NA,NA,NA
INCODE3,NACRS,NACRS::OTHER_INT_2,cat,cat,else,copy,NA,NA,NA,NA
INCODE4,NACRS,NACRS::OTHER_INT_3,cat,cat,else,copy,NA,NA,NA,NA
INCODE5,NACRS,NACRS::OTHER_INT_4,cat,cat,else,copy,NA,NA,NA,NA
INCODE6,NACRS,NACRS::OTHER_INT_5,cat,cat,else,copy,NA,NA,NA,NA
INCODE7,NACRS,NACRS::OTHER_INT_6,cat,cat,else,copy,NA,NA,NA,NA
INCODE8,NACRS,NACRS::OTHER_INT_7,cat,cat,else,copy,NA,NA,NA,NA
INCODE9,NACRS,NACRS::OTHER_INT_8,cat,cat,else,copy,NA,NA,NA,NA
INCODE10,NACRS,NACRS::OTHER_INT_9,cat,cat,else,copy,NA,NA,NA,NA
INATLOC1,NACRS,NACRS::MAIN_INT_ATTR_LOCATION,cat,cat,else,copy,NA,NA,NA,NA
INATLOC2,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_1,cat,cat,else,copy,NA,NA,NA,NA
INATLOC3,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_2,cat,cat,else,copy,NA,NA,NA,NA
INATLOC4,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_3,cat,cat,else,copy,NA,NA,NA,NA
INATLOC5,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_4,cat,cat,else,copy,NA,NA,NA,NA
INATLOC6,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_5,cat,cat,else,copy,NA,NA,NA,NA
INATLOC7,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_6,cat,cat,else,copy,NA,NA,NA,NA
INATLOC8,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_7,cat,cat,else,copy,NA,NA,NA,NA
INATLOC9,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_8,cat,cat,else,copy,NA,NA,NA,NA
INATLOC10,NACRS,NACRS::OTHER_INT_ATTR_LOCATION_9,cat,cat,else,copy,NA,NA,NA,NA
INATEXT1,NACRS,NACRS::MAIN_INT_ATTR_EXTENT,cat,cat,else,copy,NA,NA,NA,NA
INATEXT2,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_1,cat,cat,else,copy,NA,NA,NA,NA
INATEXT3,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_2,cat,cat,else,copy,NA,NA,NA,NA
INATEXT4,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_3,cat,cat,else,copy,NA,NA,NA,NA
INATEXT5,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_4,cat,cat,else,copy,NA,NA,NA,NA
INATEXT6,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_5,cat,cat,else,copy,NA,NA,NA,NA
INATEXT7,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_6,cat,cat,else,copy,NA,NA,NA,NA
INATEXT8,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_7,cat,cat,else,copy,NA,NA,NA,NA
INATEXT9,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_8,cat,cat,else,copy,NA,NA,NA,NA
INATEXT10,NACRS,NACRS::OTHER_INT_ATTR_EXTENT_9,cat,cat,else,copy,NA,NA,NA,NA
EDVISIT,NACRS,NACRS::ED_VISIT_IND,cat,cat,else,copy,NA,NA,NA,NA
ADHRecord_Key,NACRS,NACRS::STAGE_KEY,cont,cat,else,copy,NA,NA,NA,NA
HDP_PTN,NACRS,NACRS::HDP_PTN,cont,cat,"[0,Inf]",copy,NA,NA,NA,NA
