variable,databaseStart,variableStart,typeStart,typeEnd,recStart,recEnd,catStartLabel,catLabel,catLabelLong,Notes
DXTYPE15,DAD,DAD::DIAG_TYPE_15,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE16,DAD,DAD::DIAG_TYPE_16,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE17,DAD,DAD::DIAG_TYPE_17,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE18,DAD,DAD::DIAG_TYPE_18,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE19,DAD,DAD::DIAG_TYPE_19,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE20,DAD,DAD::DIAG_TYPE_20,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE21,DAD,DAD::DIAG_TYPE_21,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE22,DAD,DAD::DIAG_TYPE_22,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE23,DAD,DAD::DIAG_TYPE_23,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE24,DAD,DAD::DIAG_TYPE_24,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE25,DAD,DAD::DIAG_TYPE_25,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
INCODE1,DAD,DAD::INT_CODE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INCODE1
INCODE2,DAD,DAD::INT_CODE_2,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE3,DAD,DAD::INT_CODE_3,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE4,DAD,DAD::INT_CODE_4,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE5,DAD,DAD::INT_CODE_5,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE6,DAD,DAD::INT_CODE_6,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE7,DAD,DAD::INT_CODE_7,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE8,DAD,DAD::INT_CODE_8,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE9,DAD,DAD::INT_CODE_9,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE10,DAD,DAD::INT_CODE_10,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE11,DAD,DAD::INT_CODE_11,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE12,DAD,DAD::INT_CODE_12,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE13,DAD,DAD::INT_CODE_13,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE14,DAD,DAD::INT_CODE_14,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE15,DAD,DAD::INT_CODE_15,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE16,DAD,DAD::INT_CODE_16,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE17,DAD,DAD::INT_CODE_17,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE18,DAD,DAD::INT_CODE_18,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE19,DAD,DAD::INT_CODE_19,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INCODE20,DAD,DAD::INT_CODE_20,cat,cat,else,copy,NA,NA,NA,Refer to INCODE1
INATSTAT1,DAD,DAD::INT_STATUS_ATTRIBUTE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INATSTAT1
INATSTAT2,DAD,DAD::INT_STATUS_ATTRIBUTE_2,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT3,DAD,DAD::INT_STATUS_ATTRIBUTE_3,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT4,DAD,DAD::INT_STATUS_ATTRIBUTE_4,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT5,DAD,DAD::INT_STATUS_ATTRIBUTE_5,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT6,DAD,DAD::INT_STATUS_ATTRIBUTE_6,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT7,DAD,DAD::INT_STATUS_ATTRIBUTE_7,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT8,DAD,DAD::INT_STATUS_ATTRIBUTE_8,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT9,DAD,DAD::INT_STATUS_ATTRIBUTE_9,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT10,DAD,DAD::INT_STATUS_ATTRIBUTE_10,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT11,DAD,DAD::INT_STATUS_ATTRIBUTE_11,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT12,DAD,DAD::INT_STATUS_ATTRIBUTE_12,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT13,DAD,DAD::INT_STATUS_ATTRIBUTE_13,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT14,DAD,DAD::INT_STATUS_ATTRIBUTE_14,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT15,DAD,DAD::INT_STATUS_ATTRIBUTE_15,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT16,DAD,DAD::INT_STATUS_ATTRIBUTE_16,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT17,DAD,DAD::INT_STATUS_ATTRIBUTE_17,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT18,DAD,DAD::INT_STATUS_ATTRIBUTE_18,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATSTAT19,DAD,DAD::INT_STATUS_ATTRIBUTE_19,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INATLOC1
INATSTAT20,DAD,DAD::INT_STATUS_ATTRIBUTE_20,cat,cat,else,copy,NA,NA,NA,Refer to INATSTAT1
INATLOC1,DAD,DAD::INT_LOCATION_ATTRIBUTE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INATLOC1
INATLOC2,DAD,DAD::INT_LOCATION_ATTRIBUTE_2,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC3,DAD,DAD::INT_LOCATION_ATTRIBUTE_3,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC4,DAD,DAD::INT_LOCATION_ATTRIBUTE_4,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC5,DAD,DAD::INT_LOCATION_ATTRIBUTE_5,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC6,DAD,DAD::INT_LOCATION_ATTRIBUTE_6,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC7,DAD,DAD::INT_LOCATION_ATTRIBUTE_7,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC8,DAD,DAD::INT_LOCATION_ATTRIBUTE_8,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC9,DAD,DAD::INT_LOCATION_ATTRIBUTE_9,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC10,DAD,DAD::INT_LOCATION_ATTRIBUTE_10,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC11,DAD,DAD::INT_LOCATION_ATTRIBUTE_11,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC12,DAD,DAD::INT_LOCATION_ATTRIBUTE_12,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC13,DAD,DAD::INT_LOCATION_ATTRIBUTE_13,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC14,DAD,DAD::INT_LOCATION_ATTRIBUTE_14,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC15,DAD,DAD::INT_LOCATION_ATTRIBUTE_15,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC16,DAD,DAD::INT_LOCATION_ATTRIBUTE_16,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC17,DAD,DAD::INT_LOCATION_ATTRIBUTE_17,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC18,DAD,DAD::INT_LOCATION_ATTRIBUTE_18,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC19,DAD,DAD::INT_LOCATION_ATTRIBUTE_19,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATLOC20,DAD,DAD::INT_LOCATION_ATTRIBUTE_20,cat,cat,else,copy,NA,NA,NA,Refer to INATLOC1
INATEXT1,DAD,DAD::INT_EXTENT_ATTRIBUTE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INATEXT1
INATEXT2,DAD,DAD::INT_EXTENT_ATTRIBUTE_2,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT3,DAD,DAD::INT_EXTENT_ATTRIBUTE_3,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT4,DAD,DAD::INT_EXTENT_ATTRIBUTE_4,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT5,DAD,DAD::INT_EXTENT_ATTRIBUTE_5,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT6,DAD,DAD::INT_EXTENT_ATTRIBUTE_6,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT7,DAD,DAD::INT_EXTENT_ATTRIBUTE_7,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT8,DAD,DAD::INT_EXTENT_ATTRIBUTE_8,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT9,DAD,DAD::INT_EXTENT_ATTRIBUTE_9,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT10,DAD,DAD::INT_EXTENT_ATTRIBUTE_10,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT11,DAD,DAD::INT_EXTENT_ATTRIBUTE_11,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT12,DAD,DAD::INT_EXTENT_ATTRIBUTE_12,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT13,DAD,DAD::INT_EXTENT_ATTRIBUTE_13,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT14,DAD,DAD::INT_EXTENT_ATTRIBUTE_14,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT15,DAD,DAD::INT_EXTENT_ATTRIBUTE_15,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT16,DAD,DAD::INT_EXTENT_ATTRIBUTE_16,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT17,DAD,DAD::INT_EXTENT_ATTRIBUTE_17,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT18,DAD,DAD::INT_EXTENT_ATTRIBUTE_18,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT19,DAD,DAD::INT_EXTENT_ATTRIBUTE_19,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
INATEXT20,DAD,DAD::INT_EXTENT_ATTRIBUTE_20,cat,cat,else,copy,NA,NA,NA,Refer to INATEXT1
 INSERV1,DAD,DAD::INT_PROVIDER_SERVICE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INSERV1
 INSERV2,DAD,DAD::INT_PROVIDER_SERVICE_2,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV3,DAD,DAD::INT_PROVIDER_SERVICE_3,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV4,DAD,DAD::INT_PROVIDER_SERVICE_4,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV5,DAD,DAD::INT_PROVIDER_SERVICE_5,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV6,DAD,DAD::INT_PROVIDER_SERVICE_6,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV7,DAD,DAD::INT_PROVIDER_SERVICE_7,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV8,DAD,DAD::INT_PROVIDER_SERVICE_8,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV9,DAD,DAD::INT_PROVIDER_SERVICE_9,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV10,DAD,DAD::INT_PROVIDER_SERVICE_10,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV11,DAD,DAD::INT_PROVIDER_SERVICE_11,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV12,DAD,DAD::INT_PROVIDER_SERVICE_12,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV13,DAD,DAD::INT_PROVIDER_SERVICE_13,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV14,DAD,DAD::INT_PROVIDER_SERVICE_14,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV15,DAD,DAD::INT_PROVIDER_SERVICE_15,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV16,DAD,DAD::INT_PROVIDER_SERVICE_16,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV17,DAD,DAD::INT_PROVIDER_SERVICE_17,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV18,DAD,DAD::INT_PROVIDER_SERVICE_18,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV19,DAD,DAD::INT_PROVIDER_SERVICE_19,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INSERV20,DAD,DAD::INT_PROVIDER_SERVICE_20,cat,cat,else,copy,NA,NA,NA,Refer to INSERV1
 INLOC1,DAD,DAD::INT_LOCATION_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=INLOC1
 INLOC2,DAD,DAD::INT_LOCATION_2,cat,cat,else,copy,NA,NA,NA,Refer to INLOC1
 INLOC3,DAD,DAD::INT_LOCATION_3,cat,cat,else,copy,NA,NA,NA,Refer to INLOC1
 INLOC4,DAD,DAD::INT_LOCATION_4,cat,cat,else,copy,NA,NA,NA,Refer to INLOC1
 INLOC5,DAD,DAD::INT_LOCATION_5,cat,cat,else,copy,NA,NA,NA,Refer to INLOC1
 INLOC6,DAD,DAD::INT_LOCATION_6,cat,cat,else,copy,NA,NA,NA,Refer to INLOC1
